#{"t_start": 1675767329.8010979, "env_id": null}
r,l,t
-15.309708,13,7.883716
-30.068146,25,8.364497
-20.356268,17,8.436291
-30.875763,25,8.44857
-4.0497,4,8.450787
-28.838537,23,13.149324
-33.139414,25,13.161723
-10.111052,8,13.165917
-32.453593,25,13.606864
-31.211818,25,13.68714
-27.172938,19,18.572913
-30.468847,25,18.585491
-9.155892,8,18.590028
-30.416775,25,18.602291
-33.017958,25,18.614866
-27.251444,25,23.30247
-7.156326,6,23.305732
-28.83057,25,23.318517
-31.786703,25,23.330847
-40.275187,25,23.343174
-25.970813,25,28.238358
-7.317014,7,28.242114
-30.006423,25,28.254786
-26.44959,25,28.266954
-27.970782,25,28.279563
-15.238511,10,33.031632
-31.892288,25,33.046049
-9.767191,7,33.268784
-30.439936,25,33.318261
-26.175852,25,33.330757
-14.016502,11,38.285048
-10.326852,9,38.290322
-12.998959,7,38.294409
-28.298311,25,38.307174
-10.275644,7,38.311107
-30.400816,25,43.003978
-9.194095,4,43.006287
-5.110941,3,43.008041
-27.216009,25,43.020655
-27.060641,25,43.033076
-5.228085,3,47.910438
-12.162347,7,47.914291
-27.501308,25,47.927354
-6.783444,4,47.929711
-3.800215,3,47.93153
-34.514063,25,52.62753
-34.43981,25,52.640406
-7.589448,7,52.644328
-8.186705,4,52.646655
-29.751914,25,52.65976
-4.269789,3,57.888833
-26.344096,25,57.902604
-47.946792,20,57.913436
-20.12224,11,57.920434
-24.811872,25,57.9334
-20.534996,13,62.633283
-2.965639,2,62.634638
-56.52441,25,62.647633
-8.117421,5,62.650545
-102.874014,25,62.663014
-8.493424,4,67.578934
-10.496349,8,67.583278
-20.165319,14,67.590304
-50.333819,18,67.599215
-2.873557,2,67.733684
-29.930489,25,72.500535
-64.775708,25,72.512991
-26.58468,25,72.525318
-27.4151,25,72.538255
-32.892951,25,72.551236
-27.341818,25,77.561656
-9.072099,5,77.564546
-2.962551,2,77.565859
-14.984888,11,77.571506
-16.71784,12,77.577556
